Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9, DALF1, DAN1, DMC1, DMC2, DMC3, DMC4, DMC5, DMC6, DRT1, DTC1, DTC2, DTC3, DTC4, DUP1",SOD-123FL,38,DIODE,C64898
"DOWN1, LEFT1, MC1, MC2, MC3, MC4, MC5, MC6, RIGHT1, SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW3, SW4, SW5, SW6, SW7, SW8, SW9, TC1, TC2, TC3, TC4, UP1",MX_Choc_Hotswap_1-Sided,38,CHOCXHSPCB-1U,C41430893
"H1, H10, H16, H17, H18, H19, H2, H3, H4, H5, H6, H7, H8, H9",M3-HOLE,14,M3-HOLE,
"H11, H13, H15",M2-HOLE,3,2M-HOLE,
J1,BATT_PADS,1,J,
"J_FUNCT1, J_RIGHT1",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x04,
"J_FUNCT2, J_RIGHT2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
LGO1,logo,1,Logo,
MCU-MAIN1,ProMicro_1-Sided,1,PRO-MICRO,
PWR1,SS12D00,1,SW_SPDT,C145861
RST1,SW_SPST_TL3342,1,SW-RST,C2886897
STABL1,Stabilizer_MX_2u,1,MX-STABILIZER-2U,
