Designator,Mid X,Mid Y,Rotation,Layer
D1,137.814728,-116.08584,90.0,bottom
D10,192.881088,-128.587392,90.0,bottom
D11,214.014664,-137.814728,90.0,bottom
D12,230.981056,-134.540512,90.0,bottom
D13,137.814728,-154.185808,90.0,bottom
D14,155.078776,-149.720968,90.0,bottom
D15,175.914696,-149.720968,90.0,bottom
D16,192.881088,-147.637376,90.0,bottom
D17,214.014664,-156.864712,90.0,bottom
D18,230.981056,-153.590496,90.0,bottom
D19,137.814728,-173.235792,90.0,bottom
D2,154.78112,-111.323344,90.0,bottom
D20,156.864712,-171.1522,90.0,bottom
D21,175.914696,-168.770952,90.0,bottom
D22,194.96468,-171.1522,90.0,bottom
D23,211.931072,-173.533448,90.0,bottom
D24,230.981056,-173.533448,90.0,bottom
D3,175.914696,-111.025688,90.0,bottom
D4,193.178744,-109.835064,90.0,bottom
D5,214.31232,-118.764744,90.0,bottom
D6,231.278712,-115.490528,90.0,bottom
D7,137.814728,-135.135824,90.0,bottom
D8,155.078776,-130.670984,90.0,bottom
D9,175.914696,-130.670984,90.0,bottom
DALF1,257.174784,-175.319384,90.0,bottom
DAN1,275.3318,-175.319384,90.0,bottom
DMC1,259.4,-120.0,90.0,bottom
DMC2,274.141176,-115.192872,90.0,bottom
DMC3,293.19116,-115.340508,90.0,bottom
DMC4,258.7,-138.6,90.0,bottom
DMC5,274.141176,-134.242856,90.0,bottom
DMC6,293.19116,-133.9452,90.0,bottom
DOWN1,284.598,-167.74,0.0,bottom
DRT1,293.786472,-175.319384,90.0,bottom
DTC1,136.624104,-180.379536,90.0,bottom
DTC2,147.33972,-194.96468,90.0,bottom
DTC3,164.306112,-190.49984,90.0,bottom
DTC4,183.356096,-190.49984,90.0,bottom
DUP1,272.057584,-155.674088,90.0,bottom
H1,275.104,-139.161,0.0,top
H10,294.2,-158.2,0.0,top
H11,253.286,-140.2,0.0,top
H13,253.286,-144.8,0.0,top
H15,253.286,-135.6,0.0,top
H16,275.04,-120.106,0.0,top
H17,294.14,-120.306,0.0,top
H18,193.94,-114.406,0.0,top
H19,232.14,-120.006,0.0,top
H2,155.94,-116.206,0.0,top
H3,232.074,-139.141,0.0,top
H4,232.074,-158.201,0.0,top
H5,193.934,-133.251,0.0,top
H6,193.934,-152.361,0.0,top
H7,155.894,-154.501,0.0,top
H8,155.894,-135.431,0.0,top
H9,142.474,-179.611,0.0,top
J1,113.36875,-170.845873,300.0,top
J_FUNCT1,256.0,-120.04,0.0,bottom
J_FUNCT2,256.1,-157.01,0.0,bottom
J_RIGHT1,250.6,-120.04,0.0,bottom
J_RIGHT2,250.5,-157.01,0.0,bottom
LEFT1,265.548,-167.74,0.0,bottom
LGO1,125.5,-156.72,0.0,top
MC1,265.548,-110.59,0.0,bottom
MC2,284.598,-110.59,0.0,bottom
MC3,303.648,-110.59,0.0,bottom
MC4,265.548,-129.64,0.0,bottom
MC5,284.598,-129.64,0.0,bottom
MC6,303.648,-129.64,0.0,bottom
MCU-MAIN1,125.524,-135.801,0.0,top
PWR1,125.8,-167.5,180.0,bottom
RIGHT1,303.648,-167.74,0.0,bottom
RST1,125.595872,-159.514,180.0,bottom
STABL1,128.778123,-187.52645,300.0,top
SW1,146.34,-108.206,0.0,bottom
SW10,203.49,-124.941,0.0,bottom
SW11,222.54,-129.64,0.0,bottom
SW12,241.59,-129.64,0.0,bottom
SW13,146.34,-146.277,0.0,bottom
SW14,165.39,-143.925,0.0,bottom
SW15,184.44,-141.54,0.0,bottom
SW16,203.49,-143.925,0.0,bottom
SW17,222.54,-148.69,0.0,bottom
SW18,241.59,-148.69,0.0,bottom
SW19,146.34,-165.356,0.0,bottom
SW2,165.39,-105.825,0.0,bottom
SW20,165.39,-162.975,0.0,bottom
SW21,184.44,-160.59,0.0,bottom
SW22,203.49,-162.975,0.0,bottom
SW23,222.54,-167.74,0.0,bottom
SW24,241.59,-167.74,0.0,bottom
SW3,184.44,-103.44,0.0,bottom
SW4,203.49,-105.825,0.0,bottom
SW5,222.54,-110.59,0.0,bottom
SW6,241.59,-110.59,0.0,bottom
SW7,146.34,-127.227,0.0,bottom
SW8,165.39,-124.8902,0.0,bottom
SW9,184.44,-122.528,0.0,bottom
TC1,129.563,-186.974,60.0,bottom
TC2,155.79,-186.974,0.0,bottom
TC3,174.84,-184.59,0.0,bottom
TC4,193.89,-184.59,0.0,bottom
UP1,284.598,-148.69,0.0,bottom
